conditionId,question,category,open_time,close_time,duration_days,trade_count,is_fed,is_political,has_uma_dispute
0xc68fce919a7f2836e607b4775777f7bbd9e995d1e6d764408ed0350802abb3db,Will a Democrat win Alaska Presidential Election?,,2024-03-28 00:00:00+00:00,2024-11-05 00:00:00+00:00,222,835760,FALSE,TRUE,TRUE
0xcec7958225b06aa2464a72d934ddcc9b66bb6f35ad065010496d8db92de412a0,Will a Republican win Alaska Presidential Election?,,2024-03-28 00:00:00+00:00,2024-11-05 00:00:00+00:00,222,796279,FALSE,TRUE,TRUE
0x2fc3f33c5e70eaef5cab84fb09703a7b5b54b1e66aecbce0fcc9714d9cac263c,Will a candidate from another party win Alaska Presidential Election?,,2024-03-28 00:00:00+00:00,2024-11-05 00:00:00+00:00,222,426228,FALSE,TRUE,TRUE
0xe3cc8e738278608ba439c84bcab682ac9bb41563f8a82f6c0914f51b5cd40d29,Will a Republican win Nebraska Presidential Election?,,2024-03-28 00:00:00+00:00,2024-11-05 00:00:00+00:00,222,102307,FALSE,TRUE,TRUE
0x8ebedd688fce55ed993a0d3b0d7841296e093551beec0d01f03ff5f636602c50,Will a candidate from another party win Nebraska Presidential Election?,,2024-03-28 00:00:00+00:00,2024-11-05 00:00:00+00:00,222,1040397,FALSE,TRUE,TRUE
0x7d9a43bd2690f796900680ad88d02134d4ba70761c19f2de9ea59c5b6f55830a,Will a Democrat win Arizona Presidential Election?,,2024-03-07 00:00:00+00:00,2024-11-05 00:00:00+00:00,243,5178103,FALSE,TRUE,TRUE
0x4d848bab2da79b9ff7f2b2b0d9ddb048bb1fb47e9f782887f16e91d27de41279,Will a Republican win Arizona Presidential Election?,,2024-03-07 00:00:00+00:00,2024-11-05 00:00:00+00:00,243,5552055,FALSE,TRUE,TRUE
0x8565c04b7cb5c2837d6c3347466a430cbe678a7d6428a48e5750749a26fb815d,Will a candidate from another party win Arizona Presidential Election?,,2024-03-07 00:00:00+00:00,2024-10-31 00:00:00+00:00,238,2968663,FALSE,TRUE,TRUE
0x8f20ff6ed2ba1e234f35e701a50c274ffb64fdd8d621254d017db0445486ab79,Will a Democrat win Nevada Presidential Election?,,2024-03-07 00:00:00+00:00,2024-11-05 00:00:00+00:00,243,5159200,FALSE,TRUE,TRUE
0xdd2f4921a562fc4d18c0bde327d2a9315352a3ba4137656112b9b1770fd1f2a9,Will a Republican win Nevada Presidential Election?,,2024-03-07 00:00:00+00:00,2024-11-05 00:00:00+00:00,243,6181381,FALSE,TRUE,TRUE
0x07c4936f69699d8eccd318bb7faf0a533ffff774d186ff580a9bee9bd5912ebb,Will a Democrat win Arkansas Presidential Election?,,2024-03-28 00:00:00+00:00,2024-11-05 00:00:00+00:00,222,56355,FALSE,TRUE,TRUE
0xfd88c007f9dc1336d16c7109aad896e2aa619656fa38ead87b3e569eed4ceba1,Will a Republican win Arkansas Presidential Election?,,2024-03-28 00:00:00+00:00,2024-11-05 00:00:00+00:00,222,156941,FALSE,TRUE,TRUE
0x5b19d5d3ee794049f4ff27a66d87a7cf3fc55abf317e331988716a7b41f0c297,Will a candidate from another party win Arkansas Presidential Election?,,2024-03-28 00:00:00+00:00,2024-11-05 00:00:00+00:00,222,1808562,FALSE,TRUE,TRUE
0x24ace0c29dc2c801992ea6b7c795d3e7c4f2ad40343bc9f0becef694b2ef197f,Will a Democrat win California Presidential Election?,,2024-03-28 00:00:00+00:00,2024-11-05 00:00:00+00:00,222,1078748,FALSE,TRUE,TRUE
